Date,w_target_voo,w_target_ief,regime_label,p_tail_base,base_rate,raw_val_auc,optimizer,portfolio_vol_ann,view_confidence,edge,dead_band_hold,publish_mode,final_pass,deployment_mode
2020-01-01,0.6,0.4,crisis,0.2246512837091998,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0175867282889805,1,NORMAL,1,
2020-01-02,0.6,0.4,crisis,0.2122847346122651,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0052201791920458,1,NORMAL,1,
2020-01-03,0.6,0.4,crisis,0.2302174564758462,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.023152901055627,1,NORMAL,1,
2020-01-06,0.6,0.4,crisis,0.2782219584137668,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0711574029935475,1,NORMAL,1,
2020-01-07,0.6,0.4,crisis,0.2148113241389875,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0077467687187683,1,NORMAL,1,
2020-01-08,0.6,0.4,crisis,0.2115316253300934,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0044670699098741,1,NORMAL,1,
2020-01-09,0.6,0.4,crisis,0.2004399723033795,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0066245831168396,1,NORMAL,1,
2020-01-10,0.6,0.4,crisis,0.2393587479529563,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0322941925327371,1,NORMAL,1,
2020-01-13,0.6,0.4,crisis,0.2023415373004418,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0047230181197774,1,NORMAL,1,
2020-01-14,0.6,0.4,crisis,0.2118089688772146,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0047444134569953,1,NORMAL,1,
2020-01-15,0.6,0.4,crisis,0.207633796854937,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0005692414347177,1,NORMAL,1,
2020-01-16,0.6,0.4,crisis,0.2213866701047688,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0143221146845496,1,NORMAL,1,
2020-01-17,0.6,0.4,crisis,0.2102266262906657,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0031620708704465,1,NORMAL,1,
2020-01-20,0.6,0.4,crisis,0.2140386165002624,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0069740610800431,1,NORMAL,1,
2020-01-21,0.6,0.4,crisis,0.2143717690397491,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0073072136195299,1,NORMAL,1,
2020-01-22,0.6,0.4,crisis,0.2609013071165394,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0538367516963202,1,NORMAL,1,
2020-01-23,0.6,0.4,crisis,0.2268508453449464,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0197862899247271,1,NORMAL,1,
2020-01-24,0.6,0.4,crisis,0.2626706108270492,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0556060554068299,1,NORMAL,1,
2020-01-27,0.6,0.4,crisis,0.2645422910675294,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0574777356473102,1,NORMAL,1,
2020-01-28,0.4199999999547026,0.5800000000452975,high_vol,0.2295613483905593,0.2070645554202192,0.6055823939881911,black_litterman_cvar,0.0439941236350713,1.0,-0.0224967929703401,0,NORMAL,1,
2020-01-29,0.4199999999547026,0.5800000000452975,high_vol,0.2023376990185348,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.0431499459578438,1.0,0.0047268564016844,1,NORMAL,1,
2020-01-30,0.4199999999547026,0.5800000000452975,high_vol,0.2435723006105328,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.0428075846048734,1.0,-0.0365077451903136,1,NORMAL,1,
2020-01-31,0.4199999999547026,0.5800000000452975,high_vol,0.2769948859180114,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.0422436414592574,1.0,-0.0699303304977922,1,NORMAL,1,
2020-02-03,0.4199999999547026,0.5800000000452975,high_vol,0.2254232482481948,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.0417800856332477,1.0,-0.0183586928279755,1,NORMAL,1,
2020-02-04,0.4199999999547026,0.5800000000452975,high_vol,0.2488872165635314,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.0415827850525916,1.0,-0.0418226611433122,1,NORMAL,1,
2020-02-05,0.4199999999547026,0.5800000000452975,high_vol,0.2361836484900965,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.0408911673652147,1.0,-0.0291190930698772,1,NORMAL,1,
2020-02-06,0.4431580937379328,0.5568419062620672,high_vol,0.1991125026468226,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.04137192814438,1.0,0.0079520527733966,0,NORMAL,1,
2020-02-07,0.4199999999492729,0.580000000050727,high_vol,0.2418882614569685,0.2070645554202192,0.6090278475922388,black_litterman_cvar,0.0397004417975305,1.0,-0.0348237060367493,0,NORMAL,1,
