Date,regime_label,regime_model_live,regime_id_g5,regime_name_g5,regime_confidence_g5,regime_transition_flag,regime_persistence_score,expert_weight_entropy,expert_agreement,z_raw,p0,p_final_raw,p_final,p_final_cal_candidate,p_final_cal,p_tail_base,p_tail_dist,p_meta_trade,p_final_g5,p_final_g5_source,fusion_fallback_flag,dist_overlay_on_g53,dist_trust_score_g53,dist_overlay_strength_g53,dist_contradiction_g53,dist_sign_agree_g53,shrink_factor,fwd_voo_hat,fwd_ief_hat,fwd_spread_hat,fwd_spread_hat_from_legs,spread_model_gap,spread_q05,spread_q25,spread_q50,spread_q75,spread_q95,spread_q05_conf,spread_q95_conf,spread_iqr,spread_tail_width,spread_conf_width,spread_left_tail_score,spread_median_score,gamma_voo,gamma_ief,fwd_voo_hat_final,fwd_ief_hat_final,px_voo_t,px_ief_t,h_reb,px_voo_call_1d,px_voo_call_7d,px_ief_call_1d,px_ief_call_7d,px_voo_real_1d,px_voo_real_7d,px_ief_real_1d,px_ief_real_7d,fwd_voo,fwd_ief,excess_ret,y_voo,y_rel_tail_voo_vs_ief,y_avail,CalibDate,sign,T,b,lam,calibration_gate_on,raw_val_auc,chosen_val_auc,cal_gate_brier_raw,cal_gate_brier_cal,cal_gate_ece_raw,cal_gate_ece_cal,dist_conf_adj,dist_raw_coverage,dist_conf_coverage,dist_median_rmse,ece_roll,brier_roll,ece_avail_roll,brier_avail_roll,drift_alarm,signal_strength_g5,uncertainty_penalty_g5,meta_trust_score_g5,regime_risk_score_g5,downside_edge,upside_relief,high_risk_state,deploy_downside,deploy_upside,signal_q_threshold,spread_gate,defense_trigger_raw,defense_trigger_threshold,prob_component,spread_component,regime_component,stress_component,dist_tail_shift_g53,dist_width_caution_g53,active_weight_raw,max_underweight_cap,max_overweight_cap,active_weight_capped,w_strategy_voo_uncapped,w_strategy_voo,alpha_scale,governance_tier,w_benchmark_voo,w_strategy_ief,turnover,cost_model,strategy_ret_gross,benchmark_ret,active_ret_gross,strategy_ret_net,active_ret_net,is_live,voo_vol10,excess_vol10,vix_mom5,alpha_credit_spread,alpha_credit_accel,alpha_vix_term,alpha_breadth,alpha_tech_relative,voo_r1,ief_r1,spread_r1,jnk_r1,rsp_r1,qqq_r1,vix_r1,vix3m_r1,credit_spread_r1,stress_score_raw,stress_score_change5,bench_voo,bench_ief,bench_60_40,bench_excess_voo_minus_ief,err_px_voo,err_px_ief,err_r_voo,err_r_ief,hit_sign_voo,dist_interval_hit_raw,dist_interval_hit_conf,drift_base_ece,drift_base_brier,publish_fail_closed,publish_mode,final_pass,alpha_state,alpha_state_display,alpha_live,budget_mult,drift_rate,script_version_part2,alpha_family
2020-01-01,high_vol,1,,high_vol,,,,1.0883360155279165,0.8762783546237325,0.3275066263953005,0.5885615776174805,0.5811525772493644,0.220279685478701,0.2363047266646179,0.220279685478701,0.220279685478701,0.0808952050184401,,0.220279685478701,base_plus_soft_caution_overlay_532,0,0,0.7825547680739913,0.1712476545491262,0.1393844804602609,0,0.462415280014314,-0.0051753188891591,0.0001606886858742,-0.0053360075750334,-0.0053360075750334,0.0,-0.0208240802896083,-0.009288323346637,-0.0007800267540732,0.0037872335945634,0.0082527667539307,-0.0230036811093339,0.0104323675736563,0.0130755569412005,0.0290768470435391,0.0334360486829903,0.0230036811093339,0.0007800267540732,0.996147551512936,0.9998716071257836,-0.0051753188891591,0.0001606886858742,268.7322998046875,93.62527465820312,1,267.3451171099643,267.3451171099643,93.64032038935956,93.64032038935956,271.1125793457032,271.1125793457032,94.05845642089837,94.05845642089837,0.008818440474692,0.0046160903707663,0.0042023501039256,0.0,0.0,1,2019-01-10,1.0,0.206495395055744,0.206495395055744,0.1411898910014645,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0137842904229569,0.4721302693324543,0.7825547680739913,0.75,0.0137842904229569,0.0,0,0,0,,-0.0029968174531223,0.2928340402354394,0.46,0.0,0.5152401149583985,0.75,0.0,0.0029547715835735,0.1553884411342842,0.0,0.11,0.0,0.0,0.6,0.6,0.75,NORMAL,0.6,0.4,0.0,0.0,0.0071375004331217,0.0071375004331217,0.0,0.0071375004331217,0.0,0,0.0506522246448173,0.0546082246499055,1.109999656677246,-0.2337240518959493,-0.0043528421867908,0.999999999927431,-0.955169547819806,-0.2723098656189951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0095770494788064,0.3298840261740514,0.0,0.0,0.0,0.0,3.76746223573889,0.4181360315387934,0.0139937593638512,0.0044554016848921,0.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-02,high_vol,1,,high_vol,,,,1.0883360155279165,0.8520109452163905,0.1455440530447519,0.5460441351990089,0.5363219184040229,0.2078308351281438,0.2093833620631457,0.2078308351281438,0.2078308351281438,0.0976286659670676,,0.2078308351281438,base_plus_soft_caution_overlay_532,0,0,0.7874838513628805,0.1728058379336349,0.1102021691610761,0,0.462415280014314,-0.0058966083686387,-8.636403191113941e-05,-0.0058102443367276,-0.0058102443367276,0.0,-0.0194344892585255,-0.0094516135768657,-0.0024819431540359,0.0026071186886836,0.0080016330608426,-0.0216140900782511,0.0101812338805683,0.0120587322655494,0.0274361223193682,0.0317953239588194,0.0216140900782511,0.0024819431540359,0.9958310331296056,0.9995988244106264,-0.0058966083686387,-8.636403191113941e-05,271.1125793457031,94.05845642089844,1,269.51863868185785,269.51863868185785,94.05033350413557,94.05033350413557,269.13208007812506,269.13208007812506,94.68701934814456,94.68701934814456,-0.007331893449046,0.0066604536967789,-0.0139923471458249,1.0,1.0,1,2019-01-10,1.0,0.206495395055744,0.206495395055744,0.1736938423320651,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0013354400723997,0.4604007237093899,0.7874838513628805,0.75,0.0013354400723997,0.0,0,0,0,,-0.0034408173841124,0.2951650734394945,0.46,0.0,0.5219002098271273,0.75,0.0,0.00298094957701,0.1491493211220159,0.0,0.11,0.0,0.0,0.6,0.6,0.75,NORMAL,0.6,0.4,0.0,0.0,-0.001734954590716,-0.001734954590716,0.0,-0.001734954590716,0.0,0,0.062264769380594,0.055681628559671,-0.1799993515014648,-0.2343319195102722,-0.0006078676143229,0.9999999999198076,-0.9611402271308678,-0.2645688486760858,0.008818440474692,0.0046160903707663,0.0042023501039256,0.0040082227564441,0.0028477611636299,0.0165594574176006,-0.0998924651018722,-0.0998924651018722,-0.0006078676143229,-0.4712234843497236,0.0365974093229313,0.008818440474692,0.0046160903707663,0.0071375004331217,0.0042023501039256,-0.3865586037327944,0.6366858440090084,-0.0014352850804073,0.00674681772869,1.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-03,crisis,1,,crisis,,,,1.0883360155279165,0.8892215554798049,0.2153379899117128,0.5609996980006503,0.5536274301166086,0.2129031117627025,0.2194346120742762,0.2129031117627025,0.2129031117627025,0.1029952004499343,,0.2129031117627025,base_plus_soft_caution_overlay_532,0,0,0.7719719858437039,0.1767325487674723,0.1099079113127682,0,0.4952167273940177,-0.0056574236445257,0.0003654805181173,-0.006022904162643,-0.006022904162643,0.0,-0.0225100066972402,-0.011018323068636,-0.0007703523784283,0.004526399577383,0.0101455486093074,-0.0246896075169659,0.012325149429033,0.0155447226460191,0.0326555553065477,0.0370147569459989,0.0246896075169659,0.0007703523784283,0.9958084064162422,0.9997143560599892,-0.0056574236445257,0.0003654805181173,269.132080078125,94.68701934814452,1,267.6137847543232,267.6137847543232,94.72163193376244,94.72163193376244,270.1405334472656,270.1405334472656,94.58508300781249,94.58508300781249,0.0037400547306454,-0.0010771407821756,0.0048171955128211,0.0,0.0,1,2019-01-10,1.0,0.206495395055744,0.206495395055744,0.1245791263577966,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0064077167069584,0.4967545131215818,0.7719719858437039,1.0,0.0064077167069584,0.0,1,0,0,,-0.0033712219127405,0.3794248430541579,0.46,0.0,0.5840709801547368,1.0,0.5,0.0031023003299526,0.1684864431497775,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,0.0018131765255169,0.0018131765255169,0.0,0.0018131765255169,0.0,0,0.0735782932359067,0.0907077214498867,0.5900001525878906,-0.2417197977696012,-0.006780010645006,0.9999999999286732,-0.959511766916983,-0.2664388857247651,-0.007331893449046,0.0066604536967789,-0.0139923471458249,-0.0007274245625508,-0.005703433235161,-0.0092019304977251,0.1171591331515626,0.1171591331515626,-0.0073878782593289,0.281700222544054,0.5844933058103872,-0.007331893449046,0.0066604536967789,-0.001734954590716,-0.0139923471458249,2.5267486929423626,-0.1365489259499668,0.0093974783751712,-0.001442621300293,0.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-06,crisis,1,,crisis,,,,1.0883360155279165,0.937949442101243,0.6694020243800559,0.6683631321164797,0.6613692495294434,0.2643514315131572,0.2930357780874322,0.2643514315131572,0.2643514315131572,0.0809511808431456,,0.2643514315131572,base_plus_soft_caution_overlay_532,0,0,0.7939494952535685,0.1661722504956301,0.1834002506700116,0,0.6685437992136951,-0.0058069344387035,0.0007368236593685,-0.006543758098072,-0.006543758098072,0.0,-0.0178383639607786,-0.0083200481616239,-0.0025711224815173,0.0033771696416252,0.0070348000371091,-0.0200179647805042,0.0092144008568348,0.0116972178032492,0.0248731639978878,0.0292323656373391,0.0200179647805042,0.0025711224815173,0.9957578014525932,0.9993343510125912,-0.0058069344387035,0.0007368236593685,270.1405334472656,94.5850830078125,1,268.5763909121796,268.5763909121796,94.65480121665466,94.65480121665466,269.3955383300781,269.3955383300781,94.44918060302732,94.44918060302732,-0.002761615505002,-0.0014378602651543,-0.0013237552398477,0.0,0.0,1,2019-01-10,1.0,0.206495395055744,0.206495395055744,0.0661555464650078,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0578560364574131,0.4414549100216926,0.7939494952535685,1.0,0.0578560364574131,0.0,1,1,0,,-0.0036947728769608,0.5042168663442149,0.46,0.2435143151315727,0.6275297843857348,1.0,0.5,0.0028387556798636,0.1390717606498365,-0.16,0.16,0.0,-0.16,0.4399999999999999,0.4399999999999999,0.65,DEFENSIVE,0.6,0.56,0.16,8.000000000000002e-05,-0.0020203125706873,-0.0022321134090629,0.0002118008383756,-0.0021003125706873,0.0001318008383756,0,0.0754029864393942,0.0940956345064002,-0.9699993133544922,-0.2412796391709996,0.0078280368579305,0.999999999927798,-0.9619528450532132,-0.2637566362931908,0.0037400547306454,-0.0010771407821756,0.0048171955128211,-0.0006369821835736,0.0012989765944153,0.0064223041622195,-0.0121996540809172,-0.0121996540809172,0.0004401585986016,0.2325957889582316,0.0601649387094029,0.0037400547306454,-0.0010771407821756,0.0018131765255169,0.0048171955128211,0.8191474178985345,-0.2056206136273317,0.0030453189337014,-0.0021746839245228,1.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-07,crisis,1,,crisis,,,,1.0883360155279165,0.852928609240172,0.0351704461819503,0.5194118337572836,0.5087917053149779,0.2008038881788941,0.1941871796423742,0.2008038881788941,0.2008038881788941,0.0826322820175631,,0.2008038881788941,base_plus_soft_caution_overlay_532,0,0,0.8699940416746158,0.1967522684590264,0.1181716061613309,1,0.462415280014314,-0.005562855680379,0.0005300488628739,-0.006092904543253,-0.006092904543253,0.0,-0.0186112212687338,-0.0096394411818579,-0.0019384967624506,0.0034097731094576,0.0079960656351415,-0.0207908220884594,0.0101756664548672,0.0130492142913156,0.0266072869038754,0.0309664885433267,0.0207908220884594,0.0019384967624506,0.9958423750669474,0.9995363831800046,-0.005562855680379,0.0005300488628739,269.3955383300781,94.44918060302734,1,267.9010903823882,267.9010903823882,94.49925655398336,94.49925655398336,270.78546142578114,270.78546142578114,94.2283401489258,94.2283401489258,0.0051461497674214,-0.0023409312786295,0.007487081046051,0.0,0.0,1,2019-01-10,-1.0,0.206495395055744,0.206495395055744,0.1724310676960948,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0,0.4543602722020394,0.8699940416746158,1.0,0.0,0.0056915068768499,1,0,0,,-0.0034791111048693,0.3765038994348701,0.46,0.0,0.575725426956772,1.0,0.5,0.0030183435541822,0.1459363150010847,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.16,8.000000000000002e-05,0.002151317349001,0.002151317349001,0.0,0.002071317349001,-8.000000000000002e-05,0,0.0774087898085531,0.0939500256290667,0.0100002288818359,-0.2405701970105862,0.0002692835618117,0.9999999999274836,-0.960057100403753,-0.2611341536480132,-0.002761615505002,-0.0014378602651543,-0.0013237552398477,-0.0007284181047406,-0.0008658708555424,-0.0001391328598243,-0.0043415711373548,-0.0043415711373548,0.0007094421604133,0.2495805736541707,0.3438875198536664,-0.002761615505002,-0.0014378602651543,-0.0022321134090629,-0.0013237552398477,2.884371043392946,-0.2709164050575765,0.0107090054478005,-0.0028709801415035,0.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-08,crisis,1,,crisis,,,,1.0883360155279165,0.8565192984900373,0.0517881388093527,0.5228171771324545,0.5129441418037436,0.2018365742946191,0.1964204235691169,0.2018365742946191,0.2018365742946191,0.0897892931923181,,0.2018365742946191,base_plus_soft_caution_overlay_532,0,0,0.8686891881579754,0.2005871902074863,0.112047281102301,1,0.462415280014314,-0.0057254784690912,0.0002768092770904,-0.0060022877461816,-0.0060022877461816,0.0,-0.0189967072758409,-0.0095878549618695,-0.0021915239024851,0.0033560509393552,0.0080408503194973,-0.0211763080955666,0.010220451139223,0.0129439059012247,0.0270375575953383,0.0313967592347896,0.0211763080955666,0.0021915239024851,0.9957995273967132,0.999786195984024,-0.0057254784690912,0.0002768092770904,270.78546142578125,94.22834014892578,1,269.2395149613934,269.2395149613934,94.25442703802372,94.25442703802372,272.65695190429693,272.65695190429693,94.29631805419923,94.29631805419923,0.0068875664872924,0.0007211566791047,0.0061664098081877,0.0,0.0,1,2019-01-10,-1.0,0.206495395055744,0.206495395055744,0.1675160171672788,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0,0.457505987099547,0.8686891881579754,1.0,0.0,0.0046588207611249,1,0,0,,-0.0033240305526918,0.3814735721853365,0.46,0.0,0.5899244919581044,1.0,0.5,0.0030834989762485,0.147609567606142,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,0.0044210025640174,0.0044210025640174,0.0,0.0044210025640174,0.0,0,0.0807839094152128,0.1017615874163404,-0.3299999237060547,-0.2374098839916629,0.00245087085851,0.9999999999256506,-0.9622624463110296,-0.2587921387226445,0.0051461497674214,-0.0023409312786295,0.007487081046051,0.0008193817402935,0.0029408038601461,0.0074881646927904,-0.0249645971721155,-0.0249645971721155,0.0031603130189233,0.3012486682227174,0.3108257177015238,0.0051461497674214,-0.0023409312786295,0.002151317349001,0.007487081046051,3.417436942903521,0.0418910161755263,0.0126130449563837,0.0004443474020143,0.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-09,crisis,1,,crisis,,,,1.0883360155279165,0.8717807856256625,-0.0472844929645869,0.4962780183532014,0.4881810787617321,0.1958117198816708,0.1833913246761006,0.1958117198816708,0.1958117198816708,0.1000642561819377,,0.1958117198816708,base_plus_soft_caution_overlay_532,0,0,0.8636188747697617,0.2047513464627552,0.0957474636997331,1,0.462415280014314,-0.0057248015769569,7.885641790226705e-05,-0.0058036579948592,-0.0058036579948592,0.0,-0.0193957154852279,-0.0086413150469203,-0.0021167508697669,0.004241998248994,0.0093254741173659,-0.0215753163049535,0.0115050749370916,0.0128833132959144,0.0287211896025939,0.0330803912420451,0.0215753163049535,0.0021167508697669,0.9958249970974729,0.999762794382116,-0.0057248015769569,7.885641790226705e-05,272.6569519042969,94.29631805419922,1,271.10050438350896,271.10050438350896,94.30375421725309,94.30375421725309,271.87573242187494,271.87573242187494,94.5001525878906,94.5001525878906,-0.0028693227822351,0.0021593053323298,-0.005028628114565,1.0,1.0,1,2019-01-10,-1.0,0.206495395055744,0.206495395055744,0.1470773576207197,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0,0.4696125441399903,0.8636188747697617,1.0,0.0,0.0106836751740732,1,0,0,,-0.0033223263957111,0.3662920836347622,0.46,0.0,0.5465488103850347,1.0,0.5,0.0031292852306011,0.1540492256063778,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,-0.0008578715364091,-0.0008578715364091,0.0,-0.0008578715364091,0.0,0,0.083777221224526,0.104700564762515,0.0699996948242187,-0.2358575862039306,-0.0016080152311911,0.9999999999202552,-0.9645825654062562,-0.2572419762514011,0.0068875664872924,0.0007211566791047,0.0061664098081877,0.0022734544668363,0.0045674473920653,0.008437728958536,-0.0700555597040657,-0.0700555597040657,0.0015522977877322,-0.1284418207030424,0.3427816636466811,0.0068875664872924,0.0007211566791047,0.0044210025640174,0.0061664098081877,0.7752280383659809,0.1963983706375245,0.0028554787947217,0.0020804489144276,1.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-10,crisis,1,,crisis,,,,1.0883360155279165,0.9781690773924684,0.5683344589963565,0.6414720932384183,0.6383787715014607,0.2555551574263983,0.2754568825306782,0.2555551574263983,0.2555551574263983,0.1257683540062072,,0.2555551574263983,base_plus_soft_caution_overlay_532,0,0,0.7763664935589986,0.1787007312354432,0.129786803420191,0,0.7114081230989445,-0.0060240846037721,0.0010460928844095,-0.0070701774881817,-0.0070701774881817,0.0,-0.0210350285514097,-0.0144320188372897,-0.0026196356090525,0.0049014153008661,0.0101254736574965,-0.0232146293711354,0.0123050744772221,0.0193334341381559,0.0311605022089063,0.0355197038483575,0.0232146293711354,0.0026196356090525,0.9955913965247316,0.9990503411612658,-0.0060240846037721,0.0010460928844095,271.875732421875,94.50015258789062,1,270.24285324724167,270.24285324724167,94.59906024936924,94.59906024936924,273.6745605468751,273.6745605468751,94.38975524902344,94.38975524902344,0.0065945694363449,-0.0011689068272779,0.0077634762636229,0.0,0.0,1,2019-01-10,1.0,0.206495395055744,0.206495395055744,0.0223181483775043,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0490597623706542,0.4866189737933748,0.7763664935589986,1.0,0.0490597623706542,0.0,1,0,0,,-0.0040340151539027,0.4790635866121053,0.46,0.1555515742639834,0.668758223409465,1.0,0.5,0.0031347034813854,0.1630951988262632,0.0,0.16,0.0,0.0,0.4399999999999999,0.6,0.65,DEFENSIVE,0.6,0.4,0.0,0.0,0.0034891789308957,0.0034891789308957,0.0,0.0034891789308957,0.0,0,0.0860922182171033,0.1082622556097633,-1.4600000381469729,-0.2376536384663908,-0.0033483500501923,0.999999999920382,-0.9648133039336764,-0.2569331358123315,-0.0028693227822351,0.0021593053323298,-0.005028628114565,0.00036325306987,-0.003100061309655,-0.0025604823431653,0.0015936622862735,0.0015936622862735,-0.0017960522624601,-0.1324159319466609,-0.4141161544907149,-0.0028693227822351,0.0021593053323298,-0.0008578715364091,-0.005028628114565,3.431707299633445,-0.2093050003457932,0.0126186540401171,-0.0022149997116875,0.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-13,crisis,1,,crisis,,,,1.0883360155279165,0.884968538646577,0.0167560602880544,0.51064276109789,0.5041889170638364,0.1994091221913753,0.1917350502956574,0.1994091221913753,0.1994091221913753,0.0765742200880938,,0.1994091221913753,base_plus_soft_caution_overlay_532,0,0,0.8707727495887484,0.1958385550909934,0.1228349021032814,1,0.4800885737798434,-0.005481852473346,0.0005026862883889,-0.0059845387617349,-0.0059845387617349,0.0,-0.0187719005900852,-0.0100650589631473,-0.0016645778490523,0.0042503109785598,0.0075792110758607,-0.0209515014098108,0.0097588118955863,0.0143153699417071,0.026351111665946,0.0307103133053972,0.0209515014098108,0.0016645778490523,0.9959272651784286,0.9996028151934176,-0.005481852473346,0.0005026862883889,273.674560546875,94.38975524902344,1,272.1784215335921,272.1784215335921,94.43721561258909,94.43721561258909,273.31106567382807,273.31106567382807,94.57662200927732,94.57662200927732,-0.0013290840165831,0.0019777785220584,-0.0033068625386416,1.0,1.0,1,2019-01-10,-1.0,0.206495395055744,0.206495395055744,0.1299836732380858,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0,0.4524769850898295,0.8707727495887484,1.0,0.0,0.0070862728643687,1,0,0,,-0.0033650493352006,0.3769430174640947,0.46,0.0,0.5769800498974136,1.0,0.5,0.0030060761564982,0.1449345665371433,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,-6.33900112649848e-06,-6.33900112649848e-06,0.0,-6.33900112649848e-06,0.0,0,0.0823415493654558,0.1097129587398765,-1.5300006866455078,-0.2361213034074272,0.0033283873214237,0.9999999999188312,-0.965217624192725,-0.2520568856441537,0.0065945694363449,-0.0011689068272779,0.0077634762636229,0.0003634282316857,0.0061902491772958,0.0114708196045221,-0.0192932611144129,-0.0192932611144129,0.0015323350589635,-0.2472517615198622,-0.4798475504780938,0.0065945694363449,-0.0011689068272779,0.0034891789308957,0.0077634762636229,1.132644140235982,0.1394063966882441,0.0041527684567628,0.0014750922336695,1.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
2020-01-14,crisis,1,,crisis,,,,1.0883360155279165,0.8907278757508249,0.028067861977197,0.5082819463713351,0.507016504863952,0.1998593596160588,0.1932385634287154,0.1998593596160588,0.1998593596160588,0.1134268681472963,,0.1998593596160588,base_plus_soft_caution_overlay_532,0,0,0.8586057745167096,0.2106045316525066,0.0864324914687625,1,0.5005747697779791,-0.0053296107177987,0.0004680242964602,-0.0057976350142589,-0.0057976350142589,0.0,-0.0199607513604373,-0.0109190239961756,-0.0022295992150134,0.0061121767417509,0.0104427827894306,-0.0221403521801629,0.0126223836091562,0.0170312007379266,0.0304035341498679,0.0347627357893192,0.0221403521801629,0.0022295992150134,0.9958111487563104,0.9996479711524364,-0.0053296107177987,0.0004680242964602,273.3110656738281,94.57662200927734,1,271.85829886847625,271.85829886847625,94.62089652622149,94.62089652622149,273.91986083984386,273.91986083984386,94.81444549560548,94.81444549560548,0.0022250036965374,0.0025114554183094,-0.0002864517217719,0.0,0.0,1,2019-01-10,-1.0,0.206495395055744,0.206495395055744,0.1226773375168772,1,0.6150295222758991,0.6150295222758991,0.228715200122643,0.1432522919284646,0.2896205862457583,0.0101234843473245,0.0021796008197256,0.8293650793650794,0.9047619047619048,0.0096427979131003,,,,,0,0.0,0.4814058287233287,0.8586057745167096,1.0,0.0,0.0066360354396852,1,0,0,,-0.0034189682570183,0.3583773931793431,0.46,0.0,0.5239354090838375,1.0,0.5,0.0032086475237136,0.1603222493209195,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,0.0023395843852462,0.0023395843852462,0.0,0.0023395843852462,0.0,0,0.0840002816438459,0.1090068431216448,-1.3999996185302734,-0.23855292705119,-0.0039639587027263,0.9999999999192898,-0.9619189956328872,-0.2546732315202729,-0.0013290840165831,0.0019777785220584,-0.0033068625386416,-0.0004538451217044,0.0019695445432548,-0.0039454298927017,0.0056657900161041,0.0056657900161041,-0.0024316236437627,-0.399052449959386,-0.6486330236135567,-0.0013290840165831,0.0019777785220584,-6.33900112649848e-06,-0.0033068625386416,2.0615619713676097,0.1935489693839969,0.0075546144143361,0.0020434311218491,0.0,1.0,1.0,0.0139692051702418,0.1627252389881501,0,NORMAL,1,SHADOW,SHADOW,0,1.0,0.0,GEN5_PART2_G532_DAILY_CANONICAL_V2,GEN5_PART2A21_SOFT_CAUTION_V1
