Date,Ticker,weight,alpha_state,alpha_state_display,fusion_live,budget_mult,source_alpha_date,alpha_quality_ok,alpha_drift_ok,alpha_trial_gate_open,alpha_fused_gate_open,alpha_promotion_ready,alpha_blocker_text,part3_version,run_utc
2020-10-30,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-30,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-10-30,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-10-30,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-11-10,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-11-10,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-11-10,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-11-10,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-11-10,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-11-10,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-11-19,IEF_CORE,0.5925394733975775,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-11-19,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-11-19,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-11-19,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-11-19,VOO_CORE,0.3674605266024225,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-11-19,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-12-01,IEF_CORE,0.5925394733975775,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-12-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-12-01,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-12-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-12-01,VOO_CORE,0.3674605266024225,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-12-01,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-12-10,IEF_CORE,0.5925394733975775,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-12-10,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2020-12-10,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2020-12-10,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
