Date,regime_label,regime_model_live,regime_id_g5,regime_name_g5,regime_confidence_g5,regime_transition_flag,regime_persistence_score,expert_weight_entropy,expert_agreement,z_raw,p0,p_final_raw,p_final,p_final_cal_candidate,p_final_cal,p_tail_base,p_tail_dist,p_meta_trade,p_final_g5,p_final_g5_source,fusion_fallback_flag,dist_overlay_on_g53,dist_trust_score_g53,dist_overlay_strength_g53,dist_contradiction_g53,dist_sign_agree_g53,shrink_factor,fwd_voo_hat,fwd_ief_hat,fwd_spread_hat,fwd_spread_hat_from_legs,spread_model_gap,spread_q05,spread_q25,spread_q50,spread_q75,spread_q95,spread_q05_conf,spread_q95_conf,spread_iqr,spread_tail_width,spread_conf_width,spread_left_tail_score,spread_median_score,gamma_voo,gamma_ief,fwd_voo_hat_final,fwd_ief_hat_final,px_voo_t,px_ief_t,px_voo_call_7d,px_ief_call_7d,px_voo_real_7d,px_ief_real_7d,fwd_voo,fwd_ief,excess_ret,y_voo,y_rel_tail_voo_vs_ief,y_avail,CalibDate,sign,T,b,lam,calibration_gate_on,raw_val_auc,chosen_val_auc,cal_gate_brier_raw,cal_gate_brier_cal,cal_gate_ece_raw,cal_gate_ece_cal,dist_conf_adj,dist_raw_coverage,dist_conf_coverage,dist_median_rmse,ece_roll,brier_roll,ece_avail_roll,brier_avail_roll,drift_alarm,signal_strength_g5,uncertainty_penalty_g5,meta_trust_score_g5,regime_risk_score_g5,downside_edge,upside_relief,high_risk_state,deploy_downside,deploy_upside,signal_q_threshold,spread_gate,defense_trigger_raw,defense_trigger_threshold,prob_component,spread_component,regime_component,stress_component,dist_tail_shift_g53,dist_width_caution_g53,active_weight_raw,max_underweight_cap,max_overweight_cap,active_weight_capped,w_strategy_voo_uncapped,w_strategy_voo,alpha_scale,governance_tier,w_benchmark_voo,w_strategy_ief,turnover,cost_model,strategy_ret_gross,benchmark_ret,active_ret_gross,strategy_ret_net,active_ret_net,is_live,voo_vol10,excess_vol10,vix_mom5,alpha_credit_spread,alpha_credit_accel,alpha_vix_term,alpha_breadth,alpha_tech_relative,voo_r1,ief_r1,spread_r1,jnk_r1,rsp_r1,qqq_r1,vix_r1,vix3m_r1,credit_spread_r1,stress_score_raw,stress_score_change5,bench_voo,bench_ief,bench_60_40,bench_excess_voo_minus_ief,err_px_voo,err_px_ief,err_r_voo,err_r_ief,hit_sign_voo,dist_interval_hit_raw,dist_interval_hit_conf,drift_base_ece,drift_base_brier,publish_fail_closed
2020-01-01,dislocated,1,,dislocated,,,,0.5621483498949575,0.8735437183131398,-1.6680906713603136,0.3122918675875193,0.15867890796772768,0.11752514000248543,0.04433072878593888,0.11752514000248543,0.11752514000248543,0.3294474761749602,,0.11752514000248543,base_plus_soft_caution_overlay_532,0,0,0.42145934068425733,0.0,0.21192233617247475,0,0.52,-0.006178924739722067,0.0014431969796456434,-0.00762212171936771,-0.00762212171936771,0.0,-0.03728565723089598,-0.027709264740849615,-0.0027779765878368583,0.010871274162786417,0.027235310702791043,-0.05056583259759277,0.04051548606948783,0.03858053890363603,0.06452096793368703,0.09108131866708061,0.05056583259759277,0.0027779765878368583,0.9985611243446196,0.9990285390261893,-0.006178924739722067,0.0014431969796456434,269.5148010253906,94.88506317138672,267.8546236910199,95.02209986965848,272.6675109863282,95.77174377441405,0.011629835298884394,0.009301393534152602,0.0023284417647317923,0.0,0.0,1,2019-06-27,-1.0,0.19681908548707752,0.19681908548707752,0.14476239601499744,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.0,0.65,0.42145934068425733,1.0,0.0,0.0792939454845921,1,0,0,,-0.006,0.2223118834815582,0.46,0.0,0.13517680994730918,1.0,0.5,0.003337513419678988,0.7635164833385076,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,0.010698458592991678,0.0,0.010698458592991678,0.010698458592991678,0.010698458592991678,0,0.05065195243463938,0.054610475188432074,1.109999656677246,-0.2251652087008323,-0.004352512441378215,0.8683049673265598,-0.9542118481870558,-0.27411908205677943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04578316401652816,0.4064794385768658,0.0,0.0,0.0,0.0,4.812887295308258,0.7496439047555725,0.01780876003860646,0.007858196554506959,0.0,1.0,1.0,0.08434430386817902,0.14519122412722085,0
2020-01-10,calm,1,,calm,,,,0.5621483498949575,0.7829196111635585,-1.1675603072027088,0.5146367431951825,0.23729625328725912,0.13651365271023916,0.08084709937777299,0.13651365271023916,0.13651365271023916,0.3241248805792071,,0.13651365271023916,base_plus_soft_caution_overlay_532,0,0,0.40685325229145014,0.0,0.18761122786896792,0,0.52,-0.00705815841271673,0.0013323007640887803,-0.00839045917680551,-0.00839045917680551,0.0,-0.05193404391207041,-0.020280632592175343,-0.0012120257388456587,0.008798173495609574,0.020933260246077865,-0.0652142192787672,0.03421343561277465,0.029078806087784917,0.07286730415814828,0.09942765489154184,0.0652142192787672,0.0012120257388456587,0.998219004689951,0.9988697819378404,-0.00705815841271673,0.0013323007640887803,272.6675109863281,95.77174377441406,270.7497563692154,95.89942557821868,277.3780212402344,96.19356536865233,0.017128128995337555,0.00439477606703953,0.012733352928298025,0.0,0.0,1,2019-06-27,-1.0,0.19681908548707752,0.19681908548707752,0.2772703426266476,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.0,0.65,0.40685325229145014,0.2,0.0,0.060305432776838364,0,0,0,,-0.006,0.09972172599016071,0.46,0.0,0.1992049314004592,0.2,0.0,0.0032318117373720816,0.867845686144273,0.0,0.11,0.0,0.0,0.6,0.6,0.75,CAUTION,0.6,0.4,0.0,0.0,0.012034787824018345,-0.0008578187418876837,0.012892606565906028,0.012034787824018345,0.012892606565906028,0,0.0860955121715168,0.10826692233761087,-1.4600000381469727,-0.22909488956103036,-0.003348560713951121,0.840133817994607,-0.9638559364128465,-0.258742773126382,-0.0028692612356557845,0.0021593449987644675,-0.005028606234420252,0.000363090056633375,-0.0030999673210505563,-0.0025604224638300366,0.001593662286273556,0.0,-0.0017962549421302043,-0.008850431874302941,-0.33139081541810267,-0.0028692612356557845,0.0021593449987644675,-0.0008578187418876837,-0.005028606234420252,6.628264871018985,0.2941397904336469,0.024186287408054286,0.0030624753029507494,0.0,1.0,1.0,0.08434430386817902,0.14519122412722085,0
2020-01-21,dislocated,1,,dislocated,,,,0.5621483498949575,0.8188257074419,-1.3734685846347636,0.43049686773234325,0.20206002241424253,0.127400479126104,0.06332176556212846,0.127400479126104,0.127400479126104,0.303798237869066,,0.127400479126104,base_plus_soft_caution_overlay_532,0,0,0.38835164835164837,0.0,0.176397758742962,0,0.52,-0.0013216977022619816,0.0007089394254780953,-0.002030637127740077,-0.002030637127740077,0.0,-0.04920557530560979,-0.01148113029589324,0.002416282934182408,0.017522247415782434,0.035808860776387084,-0.06248575067230658,0.04908903614308387,0.029003377711675674,0.08501443608199688,0.11157478681539044,0.06248575067230658,-0.002416282934182408,0.9983853151939241,0.9974919601353995,-0.0013216977022619816,0.0007089394254780953,277.3780212402344,96.19356536865234,277.0116535139277,96.26178495854067,274.3348388671875,97.68287658691409,-0.011031873485418231,0.015363811082007572,-0.026395684567425803,1.0,1.0,1,2019-06-27,-1.0,0.19681908548707752,0.19681908548707752,0.22126111932184944,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.0,0.65,0.38835164835164837,1.0,0.0,0.06941860636097352,1,0,0,,-0.006197463261281233,0.175,0.46,0.0,0.0,1.0,0.5,0.00315,1.0,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,-0.0004735996584479098,0.00033774813492897264,-0.0008113477933768824,-0.0004735996584479098,-0.0008113477933768824,0,0.06441880688627899,0.09265851986006467,0.46000003814697266,-0.2354888966033341,-0.006308312709167374,0.8641560510760177,-0.9642214293713999,-0.2539098950055394,-0.0020673681170748637,0.0039454225129347265,-0.00601279063000959,-0.002362890196232037,-0.00414699427253673,-0.00044770899762713867,0.06013835689846969,0.03142335335356661,-0.006308312709167374,-0.3955848738691049,-0.1968857860937734,-0.0020673681170748637,0.0039454225129347265,0.00033774813492897264,-0.00601279063000959,-2.6768146467401834,1.4210916283734178,-0.00971017578315625,0.014654871656529476,1.0,1.0,1.0,0.08434430386817902,0.14519122412722085,0
2020-01-30,dislocated,1,,dislocated,,,,0.5621483498949575,0.7598026258660335,-0.8874975181941964,0.5772966432535359,0.2916265216600756,0.15258872560766695,0.11176070110359565,0.15258872560766695,0.15258872560766695,0.1856107057911492,,0.15258872560766695,base_plus_soft_caution_overlay_532,0,1,0.48311266854010093,0.043089332589938745,0.033021980183482236,1,0.52,0.009611551754959907,0.003273902010897289,0.006337649744062618,0.006337649744062618,0.0,-0.044872329559106326,-0.0014876533101028037,0.012606803786020646,0.021056205298474195,0.030132451028384386,-0.05815250492580311,0.04341262639508117,0.022543858608576998,0.07500478058749072,0.10156513132088428,0.05815250492580311,-0.012606803786020646,0.9907515939531999,0.9991595016551245,0.009611551754959907,0.003273902010897289,274.3348388671875,97.68287658691406,276.984334855961,98.0032048285213,280.1935119628906,97.82271575927727,0.021131078646383195,0.001430539091314742,0.019700539555068453,0.0,0.0,1,2019-06-27,-1.0,0.19681908548707752,0.19681908548707752,0.3161312766722625,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.0,0.65,0.48311266854010093,1.0,0.0,0.04423035987941057,1,0,0,,-0.015263914299067594,0.175,0.46,0.0,0.0,1.0,0.5,0.003386991329244663,0.8945641415110535,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,0.013250862824355813,0.0022641642845457,0.010986698539810113,0.013250862824355813,0.010986698539810113,0,0.11529841228411014,0.15822244062671642,2.510000228881836,-0.25413364657494003,0.0051756030912464,0.9336949745457458,-0.9708151204361098,-0.24592826797242873,0.0031271157967154295,0.0009697370162911056,0.002157378780424324,0.0013700900330002597,0.0021602904164126358,0.0035552751035750063,-0.05647671586379799,-0.02617642159442024,0.00040035301670982015,0.7350404371047919,1.2499710224799319,0.0031271157967154295,0.0009697370162911056,0.0022641642845457,0.002157378780424324,3.209177106929644,-0.1804890692440324,0.011519526891423288,-0.0018433629195825471,1.0,1.0,1.0,0.08434430386817902,0.14519122412722085,0
2020-02-10,high_vol,1,,high_vol,,,,0.5621483498949575,0.7649446418115481,-1.045329168329795,0.5345209435790964,0.26012303690666827,0.14296057575556406,0.09324502831109012,0.14296057575556406,0.14296057575556406,0.2510593870646203,,0.14296057575556406,base_plus_soft_caution_overlay_532,0,0,0.40047846650996377,0.0,0.10809881130905621,0,0.52,0.0011769855068853336,0.004069549253797117,-0.002892563746911784,-0.002892563746911784,0.0,-0.05289393422977669,0.001668589937716152,0.006028222390278092,0.012547788424540861,0.02361610466064951,-0.06617410959647348,0.036896280027346295,0.010879198486824709,0.0765100388904262,0.10307038962381977,0.06617410959647348,-0.006028222390278092,0.9958840417710892,0.9989843440625075,0.0011769855068853336,0.004069549253797117,280.1935119628906,97.82271575927734,280.5234898170772,98.22162125144355,283.2912597656249,97.80549621582033,0.01099507623191176,-0.00017604356066680538,0.011171119792578565,0.0,0.0,1,2019-06-27,-1.0,0.19681908548707752,0.19681908548707752,0.3072841423292958,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.0,0.65,0.40047846650996377,0.75,0.0,0.05385850973151346,0,0,0,,-0.0077244868520974785,0.11249999999999999,0.46,0.0,0.0,0.75,0.0,0.00315,0.9133798702977471,0.0,0.11,0.0,0.0,0.6,0.6,0.75,CAUTION,0.6,0.4,0.0,0.0,0.006526628314880334,0.005064423775762705,0.001462204539117629,0.006526628314880334,0.001462204539117629,0,0.15336099986694043,0.2094354381354015,-2.929999351501465,-0.24934804399003854,0.005757485738559248,0.9324241006473682,-0.9803602614618012,-0.22582782045954386,0.007147175848119858,0.0019402956672269767,0.005206880180892881,0.00145910781564762,0.004361339245577689,0.012013103983522733,-0.02818936586072196,-0.009870638707986323,-0.00048118785157996724,0.24687253680471333,-0.8347647965168554,0.007147175848119858,0.0019402956672269767,0.005064423775762705,0.005206880180892881,2.767769948547709,-0.41612503562322445,0.009818090725026426,-0.004245592814463923,1.0,1.0,1.0,0.08434430386817902,0.14519122412722085,0
2020-02-19,calm,1,,calm,,,,0.5621483498949575,0.7945207477297619,-1.5235850215258302,0.4371204581922092,0.17893421327885217,0.12195493446298075,0.05284956428689146,0.12195493446298075,0.12195493446298075,0.27602096589835967,,0.12195493446298075,base_plus_soft_caution_overlay_532,0,0,0.3932606144625387,0.0,0.15406603143537892,0,0.52,-0.00020403790336211435,0.003450429758818447,-0.0036544676621805615,-0.0036544676621805615,0.0,-0.058122627288697486,-0.007644226814117176,0.004378358999569967,0.009077503844197766,0.022511898485971616,-0.07140280265539427,0.0357920738526684,0.01672173065831494,0.0806345257746691,0.10719487650806267,0.07140280265539427,-0.004378358999569967,0.9966559107436467,0.9996603694083984,-0.00020403790336211435,0.003450429758818447,283.291259765625,97.80549621582031,283.2334635074558,98.14355009072375,247.5928802490235,101.08118438720703,-0.13468976950033618,0.03294322578884312,-0.1676329952891793,1.0,1.0,1,2019-06-27,-1.0,0.19681908548707752,0.19681908548707752,0.2586203731713337,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.0,0.65,0.3932606144625387,0.2,0.0,0.07486415102409677,0,0,0,,-0.006,0.03,0.46,0.0,0.0,0.2,0.0,0.00315,0.9649359563507833,0.0,0.11,0.0,0.0,0.6,0.6,0.75,CAUTION,0.6,0.4,0.0,0.0,-0.06763657138466445,0.0028118495591414215,-0.07044842094380586,-0.06763657138466445,-0.07044842094380586,0,0.06266568954517988,0.0868146130353298,0.6400003433227539,-0.24662434727339147,0.004489369950547273,0.9089760044835274,-0.9788066425989156,-0.2154552045804949,0.00480377830568024,-0.00017604356066680538,0.004979821866347045,0.0008177919783980414,0.003545134485575474,0.009539888194652235,-0.030813790754032677,-0.017544352635185945,0.0009938355390647358,-0.6176033534260029,-0.5549650441888565,0.00480377830568024,-0.00017604356066680538,0.0028118495591414215,0.004979821866347045,-35.64058325843229,2.9376342964832816,-0.13448573159697405,0.029492796030024675,1.0,0.0,0.0,0.08434430386817902,0.14519122412722085,0
2020-02-28,high_vol,1,,high_vol,,,,0.5621483498949575,0.750867279834928,-0.8700541204104347,0.6239001817371855,0.2952430407950352,0.15374978153044677,0.11399350095509532,0.15374978153044677,0.15374978153044677,0.1111287855002015,,0.15374978153044677,base_plus_soft_caution_overlay_532,0,1,0.4683516483516484,0.025348214285714318,0.04262099603024527,1,0.52,0.021173122336361434,0.0017351341639622899,0.019437988172399143,0.019437988172399143,0.0,-0.03622422696428669,0.010103299081257042,0.02624157355274467,0.04124919897799078,0.04837271481456644,-0.04950440233098348,0.06165289018126323,0.031145899896733737,0.08459694177885313,0.11115729251224671,0.04950440233098348,-0.02624157355274467,0.9955328258672177,0.9986993881534068,0.021173122336361434,0.0017351341639622899,247.59288024902344,101.08118438720703,252.89108644495892,101.25672605370062,241.49597167968764,102.91951751708984,-0.024932992806461662,0.018023299685030025,-0.04295629249149169,1.0,1.0,1,2019-06-27,-1.0,0.19681908548707752,0.19681908548707752,0.33179328338803354,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.0,0.65,0.4683516483516484,0.75,0.0,0.04306930395663075,0,0,0,,-0.00868428744541061,0.11249999999999999,0.46,0.0,0.0,0.75,0.0,0.003289415178571429,1.0,0.0,0.11,0.0,0.0,0.6,0.6,0.75,CAUTION,0.6,0.4,0.0,0.0,-0.0077504758098649856,0.0008270792560134419,-0.008577555065878428,-0.0077504758098649856,-0.008577555065878428,0,0.26954506276550594,0.29898180736857133,23.030000686645508,-0.30786301516067155,0.011217458783452983,1.3437185961949707,-0.9812659455065165,-0.22183607863170746,-0.006053653672771553,0.011148178649190932,-0.017201832321962485,0.0032769248454194155,-0.01067050681132109,0.0007777307871243977,0.023969881233118606,-0.0023423030380418375,-0.00787125380377185,1.3100830093603106,1.2212731720057821,-0.006053653672771553,0.011148178649190932,0.0008270792560134419,-0.017201832321962485,-11.395114765271273,1.662791463389226,-0.0461061151428231,0.016288165521067734,0.0,0.0,1.0,0.08434430386817902,0.14519122412722085,0
2020-03-10,high_vol,1,,high_vol,,,,0.5621483498949575,0.8804714046953958,0.9606475276121829,0.8079271661457438,0.7232514322074793,0.3925739843745338,0.5719106608105635,0.3925739843745338,0.3925739843745338,0.0565137285907293,,0.3925739843745338,base_plus_soft_caution_overlay_532,0,0,0.38835164835164837,0.0,0.3360602557838045,0,0.521885618781583,0.03151023993358744,0.0012706329907455083,0.030239606942841932,0.030239606942841932,0.0,-0.04249292173002124,0.023031529865877608,0.040249439496438486,0.035448404599769424,0.045637787253076385,-0.05577309709671803,0.05891796261977317,0.012416874733891817,0.08813070898309763,0.1146910597164912,0.05577309709671803,-0.040249439496438486,0.9868509085037184,0.9979670759321944,0.03151023993358744,0.0012706329907455083,241.4959716796875,102.91951751708984,249.22672702631118,103.05037356884118,201.70281982421875,100.26992797851564,-0.18005736738705203,-0.026081470201260615,-0.1539758971857914,1.0,1.0,1,2019-06-27,1.0,0.19681908548707752,0.19681908548707752,0.1357552268786695,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.19575489888745626,0.65,0.38835164835164837,0.75,0.19575489888745626,0.0,1,0,0,,-0.023042038683183996,0.5875,0.46,1.0,0.0,0.75,0.5,0.00315,1.0,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,-0.11846700851273546,0.022617320520104477,-0.14108432903283993,-0.11846700851273546,-0.14108432903283993,0,0.6734599939922296,0.7870380247954856,10.479999542236328,-0.3648214173787333,0.09178922233880482,1.1992900832361957,-1.0062690522191289,-0.20514895746100878,0.05004714275254951,-0.018527412828563072,0.06857455558111258,0.016639613147438226,0.047008635802158416,0.053019896560296154,-0.14095619106651913,-0.08758171823688654,0.035167025976001465,0.8468504830896271,-0.13730858796818635,0.05004714275254951,-0.018527412828563072,0.022617320520104477,0.06857455558111258,-47.52390720209243,-2.7804455903255416,-0.21156760732063945,-0.027352103192006122,0.0,0.0,0.0,0.08434430386817902,0.14519122412722085,0
2020-03-19,high_vol,1,,high_vol,,,,0.5621483498949575,0.8695904040877005,2.9185568993926094,0.8703002238161428,0.9487561839989019,0.5844530710597622,0.9422690577422403,0.5844530710597622,0.5844530710597622,0.09835914724932299,,0.5844530710597622,base_plus_soft_caution_overlay_532,0,0,0.38835164835164837,0.0,0.4860939238104392,0,0.52,0.030349123310814817,0.0006222988637231603,0.029726824447091658,0.029726824447091658,0.0,-0.044565143584847144,0.01892381801471878,0.03209071266725207,0.04606112346873116,0.04887428671784403,-0.057845318951543934,0.06215446208454081,0.02713730545401238,0.09343943030269117,0.11999978103608475,0.057845318951543934,-0.03209071266725207,0.9915269078161693,0.9965428635299075,0.030349123310814817,0.0006222988637231603,201.70281982421875,100.26992797851562,207.91816160623904,100.33234525984959,220.05688476562483,104.65424346923832,0.08709065489503942,0.042796167966439036,0.044294486928600385,0.0,0.0,1,2019-06-27,1.0,0.19681908548707752,0.19681908548707752,0.1499666915587851,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.3876339855726847,0.65,0.38835164835164837,0.75,0.3876339855726847,0.0,1,0,0,,-0.018021943064201018,0.5875,0.46,1.0,0.0,0.75,0.5,0.00315,1.0,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,0.06937286012359926,0.001828170713043953,0.06754468941055532,0.06937286012359926,0.06754468941055532,0,1.1564299526269173,1.329159558171472,-3.470001220703125,-0.4895927541369271,0.0033752499525919744,1.0364185797294398,-1.0478832838865824,-0.1638792020427075,0.0008627804344394363,0.0032762561309507277,-0.0024134756965112913,-0.023010962089554,0.0026665543367005995,0.005984251935474916,-0.059970773440666036,-0.049290454729845834,-0.026287218220505004,0.198567629150088,-0.9797885436558289,0.0008627804344394363,0.0032762561309507277,0.001828170713043953,-0.0024134756965112913,12.13872315938579,4.321898209388735,0.056741531584224604,0.04217386910271587,1.0,1.0,1.0,0.08434430386817902,0.14519122412722085,0
2020-03-30,risk_on,1,,risk_on,,,,0.5621483498949575,0.8795751079005559,0.8599184554846551,0.8107050778853367,0.7026436170769308,0.3753433788219162,0.5401350342079211,0.3753433788219162,0.3753433788219162,0.03800576616348866,,0.3753433788219162,base_plus_soft_caution_overlay_532,0,0,0.4139116677313891,0.0,0.33733761265842754,0,0.52,0.0331451451493111,0.000869884722436934,0.03227526042687417,0.03227526042687417,0.0,-0.019736834144089933,0.03348581338327583,0.036451149676322014,0.05083214899427385,0.04909708976266466,-0.03301700951078672,0.06237726512936144,0.01734633561099802,0.0688339239067546,0.09539427464014816,0.03301700951078672,-0.036451149676322014,0.9839953925229641,0.9968148488179616,0.0331451451493111,0.000869884722436934,220.056884765625,104.65424346923828,227.47292610911472,104.74532020415737,230.62078857421875,104.29457092285158,0.046888673657139,-0.0034426890879748484,0.05033136274511385,0.0,0.0,1,2019-06-27,1.0,0.19681908548707752,0.19681908548707752,0.13691257405735868,1,0.729895104895105,0.729895104895105,0.17644747920822806,0.13840382762774253,0.20020413693504682,0.04289487059491596,0.013280175366696786,0.6428571428571429,0.9126984126984127,0.026373733038974893,,,,,0,0.17852429333483869,0.65,0.4139116677313891,0.0,0.17852429333483869,0.0,1,0,0,,-0.029190374914622064,0.47500000000000003,0.46,1.0,0.0,0.0,0.5,0.00266119066575507,0.817428433001852,0.0,0.16,0.0,0.0,0.6,0.6,0.65,CAUTION,0.6,0.4,0.0,0.0,0.02675612855909346,0.02001977527343861,0.006736353285654851,0.02675612855909346,0.006736353285654851,0,0.8039889016716977,0.9289867264985027,-4.509998321533203,-0.4529663832565813,0.008812709993434142,1.1135388938544521,-1.0430687187326162,-0.17100872570613185,0.03182503808155346,0.002311881061266341,0.029513157020287117,0.010225031125678186,0.025914281485967194,0.035727789276149835,-0.1382068325522754,-0.0839667221484861,0.007913150064412844,-0.3635964954345482,-0.23794999917792256,0.03182503808155346,0.002311881061266341,0.02001977527343861,0.029513157020287117,3.1478624651040263,-0.4507492813057894,0.013743528507827903,-0.004312573810411782,1.0,0.0,1.0,0.08434430386817902,0.14519122412722085,0
